 x_m, y_m, w_tr_right_m, w_tr_left_m
1.85674348932405,-28.5890713505657,1.1,1.1
1.99956412134946,-28.9233550724971,1.1,1.1
2.150504035135,-29.2539665216363,1.1,1.1
2.30959645864309,-29.580640457231,1.1,1.1
2.47679278869186,-29.9031790417419,1.1,1.1
2.65169662151935,-30.2216708830686,1.1,1.1
2.83381879196853,-30.536280809393,1.1,1.1
3.02267049922408,-30.8471738675022,1.1,1.1
3.2177626509973,-31.1545147398413,1.1,1.1
3.41860637360454,-31.4584684731973,1.1,1.1
3.62472700268816,-31.7591888197645,1.1,1.1
3.83588327117905,-32.0566512957814,1.1,1.1
4.05202446271355,-32.3506856079405,1.1,1.1
4.27310547179006,-32.6411173094392,1.1,1.1
4.49908112003867,-32.9277718077382,1.1,1.1
4.72990615622109,-33.2104748017717,1.1,1.1
4.96553554770406,-33.4890516261319,1.1,1.1
5.20592404324931,-33.7633279068847,1.1,1.1
5.45102653735527,-34.0331290514907,1.1,1.1
5.70079777878365,-34.2982806860156,1.1,1.1
5.95519266203285,-34.5586082179203,1.1,1.1
6.2141660816013,-34.8139372732703,1.1,1.1
6.47767271338238,-35.0640934052632,1.1,1.1
6.74566074798734,-35.3089525919866,1.1,1.1
7.01806227212461,-35.5485106070768,1.1,1.1
7.29480725932079,-35.7827809311765,1.1,1.1
7.57582531876081,-36.0117770449285,1.1,1.1
7.86104635110291,-36.2355124289751,1.1,1.1
8.15040011126871,-36.4540003453542,1.1,1.1
8.44381642704812,-36.6672543475767,1.1,1.1
8.74122512623106,-36.8752879162853,1.1,1.1
9.04255596373913,-37.0781144592542,1.1,1.1
9.34773869449393,-37.2757473842577,1.1,1.1
9.65670329202206,-37.4682000990702,1.1,1.1
9.96937936550842,-37.6554861572025,1.1,1.1
10.2856963784013,-37.8376156144856,1.1,1.1
10.6055605491488,-38.0144474706841,1.1,1.1
10.9288462527353,-38.185630281801,1.1,1.1
11.2554256052265,-38.3507969371464,1.1,1.1
11.5851705040831,-38.5095802531621,1.1,1.1
11.9179529925027,-38.661613264895,1.1,1.1
12.2536450408141,-38.8065287887868,1.1,1.1
12.5921186193466,-38.9439597141477,1.1,1.1
12.9332458441659,-39.0735390031561,1.1,1.1
13.276898685601,-39.1948995451222,1.1,1.1
13.6229490411128,-39.3076743022244,1.1,1.1
13.9712690267669,-39.4114960180363,1.1,1.1
14.3217306128925,-39.5059978004728,1.1,1.1
14.6742013248499,-39.5909463979823,1.1,1.1
15.0285291592849,-39.6666931816935,1.1,1.1
15.3845570849278,-39.7337488857914,1.1,1.1
15.7421277061672,-39.7926240987249,1.1,1.1
16.1010838459966,-39.8438296275473,1.1,1.1
16.4612682545416,-39.8878760607073,1.1,1.1
16.8225236819273,-39.9252740595219,1.1,1.1
17.1846930240156,-39.9565343581761,1.1,1.1
17.5476188851954,-39.9821676179871,1.1,1.1
17.9111441613284,-40.0026845002716,1.1,1.1
18.2751116025401,-40.0185957392148,1.1,1.1
18.6393638860874,-40.0304119232655,1.1,1.1
19.0037439807005,-40.0386436408721,1.1,1.1
19.3681351513012,-40.0437438416274,1.1,1.1
19.7325191079363,-40.0460256407823,1.1,1.1
20.0968920614523,-40.0457808760329,1.1,1.1
20.4612505141689,-40.0433016765487,1.1,1.1
20.8255907498008,-40.0388799528942,1.1,1.1
21.1899092706679,-40.0328078342387,1.1,1.1
21.5542023604848,-40.0253772311466,1.1,1.1
21.9184663758345,-40.0168801999192,1.1,1.1
22.2826977461686,-40.0076087968574,1.1,1.1
22.6468928280701,-39.9978549325258,1.1,1.1
23.011047978122,-39.9879107360938,1.1,1.1
23.3751596257758,-39.9780680452574,1.1,1.1
23.7392247834295,-39.9685953798445,1.1,1.1
24.1032461472118,-39.9595653895885,1.1,1.1
24.4672293279846,-39.9509539550695,1.1,1.1
24.8311797908734,-39.9427363739206,1.1,1.1
25.1951031467402,-39.9348880895117,1.1,1.1
25.5590049335788,-39.9273843994761,1.1,1.1
25.9228906893829,-39.9202005285785,1.1,1.1
26.2867659521462,-39.9133118473207,1.1,1.1
26.6506362598626,-39.9066936533357,1.1,1.1
27.0145072233939,-39.9003212442568,1.1,1.1
27.3783843078658,-39.8941699177172,1.1,1.1
27.7422731970084,-39.8882151170868,1.1,1.1
28.1061792102107,-39.8824319942622,1.1,1.1
28.4701081040712,-39.8767959197449,1.1,1.1
28.8340653437155,-39.8712822640364,1.1,1.1
